Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
category/load style category ,4.987937319339374e-4,3.89845802645187e-4,6.308930388633762e-4,3.039274279052161e-4,2.3525192610469463e-4,3.8358549271533065e-4
report/top100ItemYear,0.5276122439994045,0.5130290974993841,0.5335252739999609,1.0351412784749011e-2,2.38093949640944e-3,1.3655557850190094e-2
report/salesSlidingYearFull,1.0180381572102608,0.9815815253344529,1.040939230212037,3.7635643264461754e-2,4.925662764201241e-3,5.2887762649227135e-2
report/salesCurrentMonthFull20,1.9388184625625702,1.9079973302499031,1.9692305582514866,3.3870765395294655e-2,1.4537876499768232e-2,4.7137360893418606e-2
report/salesSlidingYearFull20,5.61837756410235,5.574682674666595,5.636393438185223,3.1310780162915705e-2,7.679843711352472e-3,4.1605879005731684e-2
boxes/NOTHING adjustment,1.396992654172896e-2,1.3798273881915415e-2,1.4102335935448483e-2,3.843986426130253e-4,2.7805220637682474e-4,5.70920266229415e-4
forecast/,0.2133089269272912,0.20950768039668521,0.21858709041771363,6.241359037332423e-3,3.7473928472727064e-3,9.015907803183787e-3
